Destination,District,Review_Count,Primary_Category,Nature_Score,Culture_Score,Adventure_Score,Food_Score,Wellness_Score,Entertainment_Score,Shopping_Score,Family_Score
Pallewela Waterfall,Badulla,42,Wellness,0.444,0.071,0.615,0.0,0.667,0.0,0.0,0.0
Panagala,Kurunagela,9,Wellness,0.278,0.0,0.0,0.0,0.444,0.0,0.0,0.0
Pandiruppu,Kalmunai,7,Wellness,0.167,0.0,0.0,0.0,0.222,0.0,0.0,0.0
Pareiyan Ella Falls,Badulla,48,Nature,0.389,0.071,0.308,0.0,0.0,0.111,0.0,0.333
Parewi Duwa Temple,Matara,276,Wellness,0.556,0.5,0.154,0.0,0.778,0.111,0.111,0.667
Parrot Rock,Matara,209,Nature,0.611,0.071,0.538,0.231,0.444,0.333,0.0,0.556
Pasindu's Snorkeling Centre,Matara,14,Culture,0.056,0.071,0.0,0.0,0.0,0.0,0.0,0.0
Pettah Floating Market,Colombo,210,Food,0.5,0.143,0.154,1.0,0.778,0.778,1.0,0.444
"Pitawala pathana , riverston",Matale,604,Nature,0.889,0.143,0.615,0.462,0.889,0.444,0.111,0.556
Porawagala Viewpoint,Badulla,92,Nature,0.556,0.214,0.077,0.0,0.444,0.111,0.111,0.111
Pothgul Vihara,Rathnapura,55,Wellness,0.278,0.286,0.154,0.0,0.333,0.111,0.0,0.0
Prabhawa Mountain Day Viewpoint,Badulla,29,Wellness,0.333,0.214,0.231,0.0,0.444,0.111,0.0,0.0
Puwakpitiya Oya,Matale,18,Nature,0.278,0.0,0.0,0.077,0.222,0.111,0.0,0.111
Queen Viharamahadevi Statue,Colombo,12,Wellness,0.167,0.071,0.0,0.0,0.333,0.0,0.0,0.111
Rahas ella waterfalls,Matale,62,Nature,0.444,0.143,0.385,0.154,0.333,0.111,0.0,0.444
Raja & the Whales,Matara,270,Food,0.389,0.071,0.231,0.462,0.222,0.444,0.0,0.222
Rajanawa Waterfall,Rathnapura,53,Family,0.333,0.071,0.231,0.0,0.222,0.222,0.111,0.444
Rambadagalla monaragala temple,Kurunagela,10,Culture,0.111,0.143,0.0,0.0,0.0,0.0,0.0,0.0
Rangala natural pool,Matale,288,Wellness,0.556,0.071,0.231,0.077,0.778,0.333,0.222,0.333
Rathnapura National Museum,Rathnapura,86,Wellness,0.167,0.5,0.077,0.0,0.556,0.444,0.0,0.333
Ravan Ella Waterfall,Badulla,63,Nature,0.556,0.071,0.077,0.0,0.0,0.111,0.0,0.111
Ravana Waterfall,Badulla,219,Nature,0.833,0.286,0.769,0.154,0.778,0.556,0.667,0.444
Ravana's Cave,Badulla,280,Nature,0.778,0.571,0.769,0.154,0.667,0.222,0.111,0.556
Rekawa Turtle Beach,Hambantota,45,Family,0.278,0.071,0.077,0.231,0.222,0.111,0.0,0.333
Richmond Castle,Kalutara,246,Wellness,0.5,0.714,0.077,0.0,0.778,0.444,0.111,0.778
Ridiyagama Safari Park,Hambantota,408,Family,0.611,0.071,0.231,0.385,0.222,0.444,0.111,0.778
Riverston,Matale,907,Wellness,0.944,0.357,0.923,0.154,1.0,0.444,0.333,0.889
Rukmani Devi Park,Gampaha,200,Family,0.444,0.143,0.154,0.231,0.778,0.333,0.111,1.0
Rumassala Sanctuary,Galle,90,Nature,0.5,0.286,0.308,0.077,0.222,0.333,0.222,0.0
Rumassala South Beach,Galle,65,Nature,0.5,0.143,0.154,0.308,0.444,0.222,0.0,0.333
"Sam Tours and Taxi, Hambantota, Sri Lanka",Hambantota,26,Family,0.111,0.071,0.077,0.0,0.0,0.0,0.0,0.222
Sambodhi Pagoda,Colombo,158,Wellness,0.333,0.643,0.231,0.0,0.667,0.333,0.0,0.333
Saniro Dream Paradise,Gampaha,220,Family,0.167,0.143,0.077,0.077,0.444,0.556,0.111,0.889
Sathutu Uyana,Colombo,217,Family,0.167,0.071,0.077,0.0,0.444,0.556,0.0,0.778
Sea corner,Kalmunai,8,Nature,0.222,0.0,0.0,0.0,0.222,0.0,0.0,0.0
Sembuwatta lake,Matale,657,Nature,0.944,0.214,0.692,0.615,0.889,0.333,0.556,0.889
Sera ella water falls,Matale,521,Wellness,0.722,0.286,0.692,0.154,0.778,0.444,0.222,0.444
Shanthipura view point,Hatton,299,Nature,0.667,0.143,0.231,0.308,0.667,0.222,0.222,0.333
Single tree hill,Hatton,244,Nature,0.944,0.286,0.846,0.077,0.556,0.444,0.0,0.444
Siri Gautama Sambuddharaja maligawa,Kurunagela,87,Wellness,0.222,0.214,0.0,0.0,1.0,0.0,0.0,0.222
Sk Town Beach,Matara,29,Wellness,0.278,0.0,0.154,0.154,0.778,0.111,0.0,0.0
Snake Farm Weligama (Traditional Farm),Matara,270,Family,0.333,0.143,0.154,0.0,0.667,0.333,0.0,0.778
Sri Kailawasanathan Swami Devasthanam Kovil,Colombo,122,Wellness,0.111,0.643,0.154,0.077,0.667,0.111,0.111,0.0
Sri Lanka Planetarium,Colombo,185,Family,0.278,0.214,0.077,0.077,0.222,0.444,0.0,0.556
Sri Maha Viharaya,Rathnapura,39,Wellness,0.222,0.143,0.0,0.0,0.556,0.0,0.0,0.0
Sri Sudharmalaya Buddhist Temple,Galle,97,Wellness,0.167,0.714,0.154,0.308,0.889,0.111,0.333,0.0
Sri Sumana Saman Devalaya,Rathnapura,260,Culture,0.389,0.786,0.0,0.154,0.667,0.333,0.333,0.111
Sri muththumari amman kovil,Matale,547,Wellness,0.5,0.929,0.154,0.077,1.0,0.556,0.0,0.0
"St. Anthony's Shrine, Kochchikade",Colombo,268,Wellness,0.222,0.714,0.154,0.154,1.0,0.444,0.222,0.778
St. Lucia's Cathedral,Colombo,186,Wellness,0.111,0.643,0.077,0.077,0.778,0.444,0.111,0.111
St. Mary's Cathedral,Galle,70,Wellness,0.444,0.5,0.0,0.0,0.667,0.0,0.333,0.111
Star Fort Matara,Matara,199,Culture,0.278,0.571,0.154,0.0,0.444,0.444,0.222,0.222
Swarnagiri maha viharaya,Hatton,103,Wellness,0.611,0.214,0.308,0.0,0.667,0.111,0.0,0.111
"TURTLE POINT BATHEEGAMA, DiCKWELLA.",Matara,44,Family,0.278,0.0,0.077,0.308,0.222,0.111,0.0,0.444
Thalangama Lake,Colombo,208,Wellness,0.611,0.214,0.231,0.077,0.889,0.333,0.222,0.444
The Palm Rope Swing,Matara,37,Nature,0.278,0.071,0.077,0.0,0.111,0.222,0.0,0.222
The Shrine of Our Lady of Matara,Matara,217,Wellness,0.278,0.5,0.077,0.0,0.889,0.333,0.111,0.333
Themali kaan waterfalls,Matale,14,Nature,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thepulangoda Waterfall,Rathnapura,24,Family,0.278,0.0,0.077,0.0,0.333,0.111,0.0,0.667
To Sripada,Rathnapura,16,Wellness,0.167,0.143,0.231,0.0,0.333,0.0,0.222,0.0
Torington park,Colombo,62,Wellness,0.111,0.214,0.154,0.0,0.778,0.333,0.0,0.778
Turtle Bay Activity Center,Matara,103,Family,0.444,0.143,0.308,0.231,0.444,0.556,0.0,0.667
Udammita Ambalama,Gampaha,39,Culture,0.056,0.286,0.0,0.0,0.111,0.0,0.222,0.0
Upper Rawana,Badulla,31,Nature,0.611,0.071,0.385,0.231,0.111,0.0,0.222,0.222
Upper kothmale reserovir view point,Hatton,21,Nature,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uva Halpewatte Tea Factory Tour,Badulla,230,Shopping,0.5,0.143,0.231,0.231,0.222,0.444,0.556,0.333
V.T. Nanayakkara park,Matale,69,Wellness,0.278,0.143,0.077,0.0,0.778,0.111,0.0,0.444
Viharamahadevi Park,Colombo,210,Family,0.556,0.214,0.462,0.308,0.889,0.667,0.222,1.0
