Hotel_Name,Aspect,Negative,Neutral,Positive,Total,Positive_Percentage,Negative_Percentage,Sentiment_Score
AZIMUT Hotel Vienna,Location,12,34,71,117,60.68,10.26,0.504
AZIMUT Hotel Vienna,Room,12,18,31,61,50.82,19.67,0.311
AZIMUT Hotel Vienna,Staff_Service,6,21,30,57,52.63,10.53,0.421
AZIMUT Hotel Vienna,Value,4,4,18,26,69.23,15.38,0.538
AZIMUT Hotel Vienna,Wellness,0,2,0,2,0.0,0.0,0.0
Abba Garden,Cleanliness,2,8,24,34,70.59,5.88,0.647
Abba Garden,Facilities,5,7,15,27,55.56,18.52,0.37
Abba Garden,Food,5,14,28,47,59.57,10.64,0.489
Abba Garden,Location,6,14,28,48,58.33,12.5,0.458
Abba Garden,Room,9,13,37,59,62.71,15.25,0.475
Abba Garden,Staff_Service,10,11,38,59,64.41,16.95,0.475
Abba Garden,Value,3,5,12,20,60.0,15.0,0.45
Abba Garden,Wellness,6,6,18,30,60.0,20.0,0.4
Abba Sants,Cleanliness,2,11,20,33,60.61,6.06,0.545
Abba Sants,Facilities,4,10,6,20,30.0,20.0,0.1
Abba Sants,Food,2,7,15,24,62.5,8.33,0.542
